Sample,MG_name,latitude,longitude,Date.x,Index,Location,Pl_Sp,EWcoastGroup,SALTgroup,LU,Depth,Salinity.x,Core_Weight_oz,Temp,Conductivity,CO2_uM_m2_s,CH4_uM_m2_s,CO2_mg_m2_h,CH4_ug_m2_h,CH4_ppm_s,CO2_ppm_s,D1_Read_count,iTag_name.x,Part_DM,pH,Cl,SO4,OM_LOI,Corg_LOI,N,C,NO3_N,NH4_N,Olsen_P,P,Zn,Mn,Fe,Cu,EW.no,SampNO,PW_LABEL,Salinity.y,DOC_mg_L,NO2_pw,PO4_pw,SO4_pw,NO3_pw,NO2_pw.1,Cl_pw,Br_pw,F_pw,Na_pw,Mg_pw,Ca_pw,K_pw,Sr_pw,Fe_pw,Mn_pw,Al_pw,Si_pw,Co_pw,Cu_pw,Zn_pw
WestPond_CattailA_D2,WestPond_CattailA_D2,38.107075,-121.647614,10/14/2013,94,WestPond,Cattail,SF_Rest,FW,West,d2,0.417574716,9,14.8,680,90.51809777,0.601606192,14.80868675,135.0238335,0.014766242,2.221739394,147512,s094_WestPond_CattailA_D2,10.7,5.78,10.09,57.9,60.14,34.88,1.58,33.22,2.07,158.34,6.8,0.1,67,139,17180,47,94,s094,W80,0.42,32.15,0.366,NA,346.17,NA,0.366,3448.372,10.79,0.25,1855692.54,225966.52,85518.77,49657.4,1817.5,70.28,104.2,23.79,13676.11,1.9,32.81,29.95
WestPond_CattailB_D2,WestPond_CattailB_D2,38.107075,-121.647614,10/14/2013,95,WestPond,Cattail,SF_Rest,FW,West,d2,0.423137002,8.6,13.9,674,110.4175557,0.1191333,18.0642218,26.73814724,0.002924091,2.710165584,159642,s095_WestPond_CattailB_D2,7.1,5.93,10.23,59.3,75.39,43.73,1.731,39.36,NA,79.34,4.4,0.108,42,99,13270,54,95,s095,W81,0.42,9.884,0.958,NA,24.5155,NA,0.958,242.1595,1.2905,0.4325,106264.99,26250.82,51091.96,1909.2,259.96,51.92,27.53,23.29,11719.34,0.17,2.69,68.56
WestPond_CattailC_D2,WestPond_CattailC_D2,38.107075,-121.647614,10/14/2013,96,WestPond,Cattail,SF_Rest,FW,West,d2,0.36659283,9.8,13.7,584,108.8698978,0.457385698,17.81102623,102.6551443,0.011226394,2.672178788,142496,s096_WestPond_CattailC_D2,13.2,5.62,12.98,62.8,50.49,29.28,1.421,28.94,0.73,98.05,11.6,0.095,60,158,17860,50,96,s096,W82,0.37,10.44,0.9945,NA,10.39,0.161,0.9945,199.869,1.1535,0.428,85814.93,25103.66,56222.15,17074.79,255.36,53.7,0.74,23.04,11331.48,0.16,2.16,0.95
MayberryNE_TuleA_D2,MayberryNE_TuleA_D2,38.052509,-121.76873,8/30/2013,97,MayberryNE,Tule,SF_Rest,Oligo,Pond,d2,3.325753237,10,22,5751,20.53030384,0.145389415,3.358740915,32.63104086,0.003568539,0.503910112,154672,s097_MayberryNE_TuleA_D2,9.1,6.89,120.7,1049.9,65.16,37.79,1.892,32.22,2.31,114.8,2.6,0.112,37,207,36000,22,97,s097,W1,3.33,78.92,1.166,2.98,15.034,NA,1.166,1276.85,5.332,0.69,759634.08,106436.13,107005.82,22336.15,1075.49,342.81,216.4,55.07,3274.7,1.17,20.8,1.24
MayberryNE_TuleB_D2,MayberryNE_TuleB_D2,38.052509,-121.76873,8/30/2013,98,MayberryNE,Tule,SF_Rest,Oligo,Pond,d2,3.436740106,9.8,21.9,5918,12.56376263,0.192548287,2.055421289,43.21532629,0.00472604,0.308373762,168217,s098_MayberryNE_TuleB_D2,10.7,6.96,101.56,835.8,62.6,36.31,2.059,32.92,1.45,243.07,9.5,0.132,33,244,25660,21,98,s098,W2,3.44,109.2,2.158,2.026,26.068,NA,2.158,1992.234,8.246,0.8,996395.73,165305.97,143863.58,34178.03,1660.67,151.26,1.09,52.9,5318.4,0.8,21.68,4.43
MayberryNE_TuleC_D2,MayberryNE_TuleC_D2,38.052509,-121.76873,8/30/2013,99,MayberryNE,Tule,SF_Rest,Oligo,Pond,d2,3.431605924,10,22.3,5960,24.41456382,0.996253201,3.99420267,223.5979753,0.024452734,0.599248101,142672,s099_MayberryNE_TuleC_D2,11.3,7.14,95.24,708.3,57.29,33.23,1.748,31.08,2.5,197.42,2.8,0.118,36,277,35320,21,99,s099,W3,3.43,115,0.226,1.24,48.862,NA,0.226,2169.22,8.982,0.834,1083096.2,172987.87,110855.9,31768.44,1401.02,91.02,0.65,26.32,7443.59,1.94,23.8,2.27
MayberryNE_CattailA_D2,MayberryNE_CattailA_D2,38.052479,-121.7687,8/31/2013,100,MayberryNE,Cattail,SF_Rest,Oligo,Pond,d2,3.1,14.2,22.1,5430,12.23676997,0.118422812,2.001925557,26.5786859,0.002906652,0.300347826,183443,s100_MayberryNE_CattailA_D2,52.9,7.27,57.33,54.7,22.33,12.95,0.928,13.98,0.19,9.92,13.1,0.08,59,565,29540,41,100,s100,W4,3.12,88.69,0.998,1.666,15.41,NA,0.998,1003.358,4.148,0.812,514338.59,92674.94,125406.03,14340.51,1136.76,712.9,136.56,27.99,10297.04,0.78,14.99,0.27
MayberryNE_CattailB_D2,MayberryNE_CattailB_D2,38.052479,-121.7687,8/31/2013,101,MayberryNE,Cattail,SF_Rest,Oligo,Pond,d2,3.3,13.6,22.5,5807,10.4721964,0.075898881,1.713242764,17.03466156,0.001862915,0.2570369,147548,s101_MayberryNE_CattailB_D2,51.3,7.29,62.39,53.4,21.53,12.49,0.858,13.36,NA,13.41,12.8,0.077,61,533,30210,41,101,s101,W5,3.32,72.63,1.62,1.334,22.95,NA,1.62,966.432,4.162,0.7,490642.11,85864.31,124111.32,13106.42,1102.4,107.3,12.35,18.24,9100.31,0.85,12.38,NA
MayberryNE_CattailC_D2,MayberryNE_CattailC_D2,38.052479,-121.7687,8/31/2013,102,MayberryNE,Cattail,SF_Rest,Oligo,Pond,d2,3.3,13.8,22.1,5756,6.448730832,0.025534859,1.055007089,5.731015721,0.000626745,0.158282152,133592,s102_MayberryNE_CattailC_D2,49.6,6.81,64.55,64.4,23.62,13.7,0.933,13.82,0.2,10.9,15,0.086,62,449,29560,42,102,s102,W6,3.32,93.27,1.368,1.444,34.642,NA,1.368,1701.18,7.36,0.706,854405.27,141977.4,111678.4,27640.86,1264.88,195.68,55.72,21.05,8420.45,0.83,16.78,0.96
MayberrySE_TuleA_D2,NA,38.049923,-121.765244,9/4/2013,103,MayberrySE,Tule,SF_Rest,Oligo,Pond,d2,1.415937623,13.2,21.8,2561,73.22543537,5.663839784,11.97962133,1271.185986,0.139017238,1.797296214,168632,s103_MayberrySE_TuleA_D2,50.1,7.37,43.25,53.3,21.58,12.51,0.902,13.36,0.47,41.69,14.5,0.077,65,395,30230,48,103,s103,W17,1.42,49.05,1.636,1.206,36.954,NA,1.636,1182.756,4.776,0.328,567078.07,106259.77,163942.64,NA,1556.4,192.86,815.47,24.63,10326.12,1.52,14.38,1.67
