Number,Tract,Point,Depth,Area,Moisture,pH,FeII_mmol,FeT_mmol,FeII_mg.g,FeT_mg.g,FeIII_mg.g,FePC_mg.g,Al_mg.g,N,C
27,T3,P4,0-15,Mayberry,0.69015444,7.33,8.364833245,5.032165846,8.486056225,5.105091883,0,0.036954478,0,1.155,19.015
29,T3,P5,0-15,Mayberry,0.792433538,7.07,3.40358204,4.045113132,4.57877068,5.441809595,0.863038915,0,0,1.415,19.305
2,T1,P1,15-30,Mayberry,0.343873518,7.12,14.20710408,24.71220654,6.342245803,11.03186739,4.689621585,0.040690376,0,0.645,11.03
4,T1,P2,15-30,Mayberry,0.374881964,7.28,13.29256941,20.39618248,5.755424506,8.831151066,3.075726559,0.020860577,0,0.755,11.685
6,T1,P3,15-30,Mayberry,0.367961165,7.17,13.80144415,20.83595157,6.509768675,9.827755949,3.317987274,0.046160688,0,0.81,12.16
8,T1,P4,15-30,Mayberry,0.348543689,6.94,12.49969166,13.57784733,5.030767535,5.464694282,0.433926746,0.03042956,0,0.825,14.34
10,T1,P5,15-30,Mayberry,0.364705882,7.39,12.46661238,21.22433652,6.408809468,10.91096159,4.502152123,0.018266856,0,0.7,10.615
12,T2,P1,15-30,Mayberry,0.356111646,7.13,17.7818301,22.81181566,7.949942815,10.1987607,2.248817886,0.03518008,0,0.815,13.085
14,T2,P2,15-30,Mayberry,0.408678103,7.02,18.38759186,23.97634788,9.270126948,12.08770514,2.817578189,0.038338879,0,0.785,13.575
16,T2,P3,15-30,Mayberry,0.35721393,7.15,11.96060453,27.0847656,5.65791188,12.8123304,7.154418521,0.031261449,0,0.83,11.45
18,T2,P4,15-30,Mayberry,0.375961538,6.9,13.91969292,25.45136411,6.177091376,11.29445905,5.117367674,0.026458144,0,0.865,12.05
20,T2,P5,15-30,Mayberry,0.404234841,6.73,12.11683382,26.75199763,5.936401431,13.10660849,7.170207061,0.028981295,0,0.895,12.87
22,T3,P1,15-30,Mayberry,,,17.56483199,31.06167242,10.48300815,18.53816565,8.055157507,0.030038002,0,,
24,T3,P2,15-30,Mayberry,0.367793241,6.85,18.57701971,29.32895722,8.218852525,12.97572904,4.756876516,0.008591912,0,0.745,12.37
26,T3,P3,15-30,Mayberry,0.40512334,7.03,9.007096218,11.45179881,3.660544922,4.654088616,0.993543694,0.037796393,0,0.895,13.67
28,T3,P4,15-30,Mayberry,0.346153846,7.32,3.338519769,12.52156147,1.587123481,5.952717252,4.365593771,0.028502256,0,0.7,11.275
30,T3,P5,15-30,Mayberry,0.541108987,7.25,11.99858505,22.1365851,6.781239242,12.51093183,5.729692588,0.057867852,0,0.91,12.785
